recipe_name,total_time,ingredients_list,directions_list,fat,sat_fat,cholesterol,sodium,fiber,sugar,protein,calcium,iron,potassium,img_src,text
Apple-Cranberry Crostada,0,"['3 tablespoons butter', '2 pounds granny smith apples (or other firm', 'crisp apples)', 'peeled', 'quartered', 'cored and sliced 1/4-inch thick', '1 pound macintosh apples (or other soft-textured apples that fall apart when cooked)', 'peeled', 'quartered', 'cored', 'and sliced 1/4-inch thick', '½ cup sugar', '½ cup dried cranberries', '1 sheet frozen puff pastry', 'thawed but still cold (follow package directions)', '1  egg white', 'lightly beaten', '1 tablespoon sugar', '1 cup optional: ice cream or lightly sweetened whipped cream']","['heat butter in a large skillet over medium-high heat. add apples', '1/2 cup sugar and cranberries; cover and cook until apples release their liquid', 'about 5 minutes. remove lid and continue to cook', 'stirring frequently', 'until soft apples fall apart and juices thicken to a thin-syrup consistency', 'about 5 minutes longer. pour onto a large-lipped cookie sheet or jellyroll pan and cool to room temperature. (can be refrigerated in an airtight container up to 5 days.)\nadjust oven rack to low position and heat oven to 400 degrees. open puff pastry sheet on a lightly floured work surface. roll into a rectangle', ""about 10 by 16 inches. transfer to a large cookie sheet. (i suggest lining the sheet with parchment paper; this ensures the crostada doesn't stick and allows easy cleanup.)\nspread cooked apples over pastry"", 'leaving a 2-inch border. fold up pastry borders over apples. unfold corners and form ruffled creases to keep dough from overlapping. brush pastry border with egg white and sprinkle with the remaining 1 tb. sugar. bake until pastry is golden brown', '25 to 30 minutes. serve warm or at room temperature with optional ice cream or whipped cream.']",18.0,7.0,19.0,128.0,5.0,40.0,4.0,35.0,1.0,245.0,https://www.allrecipes.com/thmb/Tf1wH73bfH6OqlfQySSDtMaP-nw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/517708-5f57072dedb04a389edab3e141517d4d.jpg,"Apple-Cranberry Crostada 3 tablespoons butter, 2 pounds Granny Smith apples (or other firm, crisp apples), peeled, quartered, cored and sliced 1/4-inch thick, 1 pound Macintosh apples (or other soft-textured apples that fall apart when cooked), peeled, quartered, cored, and sliced 1/4-inch thick, ½ cup sugar, ½ cup dried cranberries, 1 sheet frozen puff pastry, thawed but still cold (follow package directions), 1  egg white, lightly beaten, 1 tablespoon sugar, 1 cup Optional: Ice cream or lightly sweetened whipped cream Heat butter in a large skillet over medium-high heat. Add apples, 1/2 cup sugar and cranberries; cover and cook until apples release their liquid, about 5 minutes. Remove lid and continue to cook, stirring frequently, until soft apples fall apart and juices thicken to a thin-syrup consistency, about 5 minutes longer. Pour onto a large-lipped cookie sheet or jellyroll pan and cool to room temperature. (Can be refrigerated in an airtight container up to 5 days.)
Adjust oven rack to low position and heat oven to 400 degrees. Open puff pastry sheet on a lightly floured work surface. Roll into a rectangle, about 10 by 16 inches. Transfer to a large cookie sheet. (I suggest lining the sheet with parchment paper; this ensures the crostada doesn't stick and allows easy cleanup.)
Spread cooked apples over pastry, leaving a 2-inch border. Fold up pastry borders over apples. Unfold corners and form ruffled creases to keep dough from overlapping. Brush pastry border with egg white and sprinkle with the remaining 1 Tb. sugar. Bake until pastry is golden brown, 25 to 30 minutes. Serve warm or at room temperature with optional ice cream or whipped cream. /Desserts/Fruit Desserts/Apple Dessert Recipes/"
Apple Pie by Grandma Ople,90,"['8 small granny smith apples', 'or as needed', '½ cup unsalted butter', '3 tablespoons all-purpose flour', '½ cup white sugar', '½ cup packed brown sugar', '¼ cup water', '1 (9 inch) double-crust pie pastry', 'thawed']","['peel and core apples', 'then thinly slice. set aside.\npreheat the oven to 425 degrees f (220 degrees c).\nmelt butter in a saucepan over medium heat. add flour and stir to form a paste; cook until fragrant', 'about 1 to 2 minutes. add both sugars and water; bring to a boil. reduce the heat to low and simmer for 3 to 5 minutes. remove from the heat.\npress one pastry into the bottom and up the sides of a 9-inch pie pan. roll out remaining pastry so it will overhang the pie by about 1/2 inch. cut pastry into eight 1-inch strips.\nplace sliced apples into the bottom crust', 'forming a slight mound. lay four pastry strips vertically and evenly spaced over apples', ""using longer strips in the center and shorter strips at the edges.\nmake a lattice crust: fold the first and third strips all the way back so they're almost falling off the pie. lay one of the unused strips perpendicularly over the second and fourth strips"", 'then unfold the first and third strips back into their original position.\nfold the second and fourth vertical strips back. lay one of the three unused strips perpendicularly over top. unfold the second and fourth strips back into their original position.\nrepeat steps 6 and 7 to weave in the last two strips of pastry. fold and trim excess dough at the edges as necessary', 'and pinch to secure.\nslowly and gently pour sugar-butter mixture over lattice crust', 'making sure it seeps over sliced apples. brush some onto lattice', ""but make sure it doesn't run off the sides.\nbake in the preheated oven for 15 minutes. reduce the temperature to 350 degrees f (175 degrees c) and continue baking until apples are soft"", '35 to 45 minutes.\n\n\n\n\n\n\n\n\n\n\n\nnatalie t']",19.0,9.0,31.0,124.0,3.0,,2.0,23.0,1.0,156.0,https://www.allrecipes.com/thmb/1I95oiTGz6aEpuHd2DAr33w7Mgg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12682-apple-pie-by-grandma-ople-natasha-titanov-1x1-1-7f1cd9f631d24ff0b90cac0163247686.jpg,"Apple Pie by Grandma Ople 8 small Granny Smith apples, or as needed, ½ cup unsalted butter, 3 tablespoons all-purpose flour, ½ cup white sugar, ½ cup packed brown sugar, ¼ cup water, 1 (9 inch) double-crust pie pastry, thawed Peel and core apples, then thinly slice. Set aside.
Preheat the oven to 425 degrees F (220 degrees C).
Melt butter in a saucepan over medium heat. Add flour and stir to form a paste; cook until fragrant, about 1 to 2 minutes. Add both sugars and water; bring to a boil. Reduce the heat to low and simmer for 3 to 5 minutes. Remove from the heat.
Press one pastry into the bottom and up the sides of a 9-inch pie pan. Roll out remaining pastry so it will overhang the pie by about 1/2 inch. Cut pastry into eight 1-inch strips.
Place sliced apples into the bottom crust, forming a slight mound. Lay four pastry strips vertically and evenly spaced over apples, using longer strips in the center and shorter strips at the edges.
Make a lattice crust: Fold the first and third strips all the way back so they're almost falling off the pie. Lay one of the unused strips perpendicularly over the second and fourth strips, then unfold the first and third strips back into their original position.
Fold the second and fourth vertical strips back. Lay one of the three unused strips perpendicularly over top. Unfold the second and fourth strips back into their original position.
Repeat Steps 6 and 7 to weave in the last two strips of pastry. Fold and trim excess dough at the edges as necessary, and pinch to secure.
Slowly and gently pour sugar-butter mixture over lattice crust, making sure it seeps over sliced apples. Brush some onto lattice, but make sure it doesn't run off the sides.
Bake in the preheated oven for 15 minutes. Reduce the temperature to 350 degrees F (175 degrees C) and continue baking until apples are soft, 35 to 45 minutes.











Natalie T
 /Desserts/Pies/Apple Pie Recipes/"
Sarah's Homemade Applesauce,25,"['4  apples - peeled', 'cored and chopped', '¾ cup water', '¼ cup white sugar', '½ teaspoon ground cinnamon']","['combine apples', 'water', 'sugar', 'and cinnamon in a saucepan; cover and cook over medium heat until apples are soft', 'about 15 to 20 minutes.\nallow apple mixture to cool', ""then mash with a fork or potato masher until it is the consistency you like.\n\n\n\n\n\n\n\n\n\n\n\nphoto by cookin'mama.\ncookin mama""]",0.0,,,3.0,4.0,27.0,0.0,13.0,0.0,150.0,https://www.allrecipes.com/thmb/VY5d0tZHB8xz6y-ef586jR050FE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/25840-Sarahs-Applesauce-2000-56080bc8aac64df59aeec895f1875fc0.jpg,"Sarah's Homemade Applesauce 4  apples - peeled, cored and chopped, ¾ cup water, ¼ cup white sugar, ½ teaspoon ground cinnamon Combine apples, water, sugar, and cinnamon in a saucepan; cover and cook over medium heat until apples are soft, about 15 to 20 minutes.
Allow apple mixture to cool, then mash with a fork or potato masher until it is the consistency you like.











Photo by cookin'mama.
cookin mama
 /Side Dish/Applesauce Recipes/"
Apple Crisp,75,"['10 cups all-purpose apples', 'peeled', 'cored and sliced', '1 cup white sugar', '1 tablespoon all-purpose flour', '1 teaspoon ground cinnamon', '½ cup water', '1 cup quick-cooking oats', '1 cup all-purpose flour', '1 cup packed brown sugar', '¼ teaspoon baking powder', '¼ teaspoon baking soda', '½ cup butter', 'melted']","['preheat the oven to 350 degrees f (175 degrees c).\nplace sliced apples in a 9x13-inch baking dish. mix white sugar', '1 tablespoon flour', 'and cinnamon together; sprinkle over apples. pour water evenly over apples.\ncombine oats', '1 cup flour', 'brown sugar', 'baking powder', 'and baking soda in a large bowl. add melted butter and mix with a fork until crumbly; sprinkle evenly over apple mixture.\nbake in the preheated oven until top is golden brown and apples are bubbling around the edges', 'about 45 minutes.\n\n\n\n\n\n\n\n\n\n\n\ndotdash meredith food studios']",8.0,5.0,20.0,98.0,3.0,44.0,2.0,36.0,1.0,162.0,https://www.allrecipes.com/thmb/uAzhPOh86PfR-NIT1_dQ5c9bhag=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12409-apple-crisp-MFS-027-c2f142105db44206856af57c388db3ee.jpg,"Apple Crisp 10 cups all-purpose apples, peeled, cored and sliced, 1 cup white sugar, 1 tablespoon all-purpose flour, 1 teaspoon ground cinnamon, ½ cup water, 1 cup quick-cooking oats, 1 cup all-purpose flour, 1 cup packed brown sugar, ¼ teaspoon baking powder, ¼ teaspoon baking soda, ½ cup butter, melted Preheat the oven to 350 degrees F (175 degrees C).
Place sliced apples in a 9x13-inch baking dish. Mix white sugar, 1 tablespoon flour, and cinnamon together; sprinkle over apples. Pour water evenly over apples.
Combine oats, 1 cup flour, brown sugar, baking powder, and baking soda in a large bowl. Add melted butter and mix with a fork until crumbly; sprinkle evenly over apple mixture.
Bake in the preheated oven until top is golden brown and apples are bubbling around the edges, about 45 minutes.











Dotdash Meredith Food Studios
 /Desserts/Crisps and Crumbles Recipes/Apple Crisps and Crumbles Recipes/"
Apple Pie Filling,160,"['18 cups thinly sliced apples', '3 tablespoons lemon juice', '10 cups water', '4 ½ cups white sugar', '1 cup cornstarch', '2 teaspoons ground cinnamon', '1 teaspoon salt', '¼ teaspoon ground nutmeg']","['toss apples with lemon juice in a large bowl and set aside.\npour water into a dutch oven over medium heat. combine sugar', 'cornstarch', 'cinnamon', 'salt', 'and nutmeg in a bowl; add to water', 'stir well', 'and bring to a boil. boil for 2 minutes', 'stirring constantly.\nadd apples and return to a boil. reduce heat', 'cover', 'and simmer until apples are tender', '6 to 8 minutes. cool for 30 minutes.\nladle into 5 freezer containers', 'leaving 1/2 inch of headspace. cool at room temperature no longer than 1 1/2 hours.\nseal and freeze. can be stored for up to 12 months.\n\n\n\n\n\n\n\n\n\n\n\ndotdash meredith food studios']",0.0,,,61.0,1.0,28.0,0.0,7.0,0.0,63.0,https://www.allrecipes.com/thmb/c0bbYaS1V_mTt_fb85yo0gPcYUM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12681-apple-pie-filling-beauty-1x1-BP-2876-ed43a184f9564f4a8dc893c4ae8d561f.jpg,"Apple Pie Filling 18 cups thinly sliced apples, 3 tablespoons lemon juice, 10 cups water, 4 ½ cups white sugar, 1 cup cornstarch, 2 teaspoons ground cinnamon, 1 teaspoon salt, ¼ teaspoon ground nutmeg Toss apples with lemon juice in a large bowl and set aside.
Pour water into a Dutch oven over medium heat. Combine sugar, cornstarch, cinnamon, salt, and nutmeg in a bowl; add to water, stir well, and bring to a boil. Boil for 2 minutes, stirring constantly.
Add apples and return to a boil. Reduce heat, cover, and simmer until apples are tender, 6 to 8 minutes. Cool for 30 minutes.
Ladle into 5 freezer containers, leaving 1/2 inch of headspace. Cool at room temperature no longer than 1 1/2 hours.
Seal and freeze. Can be stored for up to 12 months.











Dotdash Meredith Food Studios
 /Desserts/Pies/Apple Pie Recipes/"
Easy Apple Crisp with Oat Topping,60,"['6  apples - peeled', 'cored', 'and sliced', '2 tablespoons white sugar', '1 ½ teaspoons ground cinnamon', 'divided', '1 cup brown sugar', '¾ cup old-fashioned oats', '¾ cup all-purpose flour', '½ cup cold butter']","['preheat the oven to 350 degrees f (175 degrees c).\ntoss apples with white sugar and 1/2 teaspoon cinnamon in a medium bowl to coat; pour into a 9-inch square baking dish.\nmix brown sugar', 'oats', 'flour', 'and 1 teaspoon cinnamon in a separate bowl. cut in cold butter with 2 knives or a pastry blender until the mixture resembles coarse crumbs; spread over apples and pat down gently until even.\nbake in the preheated oven until golden brown and sides are bubbling', 'about 40 minutes.']",25.0,15.0,61.0,177.0,8.0,63.0,5.0,69.0,2.0,360.0,https://www.allrecipes.com/thmb/1tKFVcDXwp8Y_zGAzOoowGVomOk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Apple-Crisp-with-Oat-Topping-70ef9793a177482285f8ed377e692062.jpg,"Easy Apple Crisp with Oat Topping 6  apples - peeled, cored, and sliced, 2 tablespoons white sugar, 1 ½ teaspoons ground cinnamon, divided, 1 cup brown sugar, ¾ cup old-fashioned oats, ¾ cup all-purpose flour, ½ cup cold butter Preheat the oven to 350 degrees F (175 degrees C).
Toss apples with white sugar and 1/2 teaspoon cinnamon in a medium bowl to coat; pour into a 9-inch square baking dish.
Mix brown sugar, oats, flour, and 1 teaspoon cinnamon in a separate bowl. Cut in cold butter with 2 knives or a pastry blender until the mixture resembles coarse crumbs; spread over apples and pat down gently until even.
Bake in the preheated oven until golden brown and sides are bubbling, about 40 minutes.









 /Desserts/Crisps and Crumbles Recipes/Apple Crisps and Crumbles Recipes/"
Easy Apple Cider,70,"['1 (64 fluid ounce) bottle apple cider', '3  cinnamon sticks', '1 teaspoon whole allspice', '1 teaspoon whole cloves', '⅓ cup brown sugar']",['combine apple cider and cinnamon sticks in a slow cooker.\nplace allspice and cloves onto the center of an 8-inch square piece of cheesecloth. gather edges of the cheesecloth together and tie to secure; place in the slow cooker. stir in brown sugar. cook on high until it comes to a boil. reduce heat to low and keep warm.'],0.0,,,31.0,1.0,38.0,0.0,23.0,0.0,20.0,https://www.allrecipes.com/thmb/fRJDPqthkB2mxnA5VOrG6szvS1Q=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/158643-2d01a5a0827c44598c89b3bd819d250e.jpg,"Easy Apple Cider 1 (64 fluid ounce) bottle apple cider, 3  cinnamon sticks, 1 teaspoon whole allspice, 1 teaspoon whole cloves, ⅓ cup brown sugar Combine apple cider and cinnamon sticks in a slow cooker.
Place allspice and cloves onto the center of an 8-inch square piece of cheesecloth. Gather edges of the cheesecloth together and tie to secure; place in the slow cooker. Stir in brown sugar. Cook on High until it comes to a boil. Reduce heat to Low and keep warm. /Drinks Recipes/Cider Recipes/"
Apple-Cranberry Crisp,65,"['2 pounds granny smith apples - peeled', 'cored and thinly sliced', '¾ cup cranberries', '¼ cup white sugar', '1 tablespoon ground cinnamon', '1 teaspoon ground nutmeg']","['preheat the oven to 375 degrees f (190 degrees c.) butter an 8-inch square baking dish.\nmix apples', 'cranberries', 'white sugar', 'cinnamon', 'and nutmeg in a large bowl. place in an even layer in the prepared baking dish.\nin the same bowl', 'combine oats', 'flour', 'and brown sugar for topping. add butter pieces and mix with a fork until crumbly. stir in pecans. sprinkle topping over apples in the baking dish.\nbake in the preheated oven until apples are tender and topping is golden brown', '40 to 50 minutes.']",12.0,4.0,15.0,47.0,4.0,32.0,2.0,37.0,1.0,207.0,https://www.allrecipes.com/thmb/MjDDFmBWiEx9f1kpSieyThF1KnM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/525977-d5f45adf863d41fba1a1071febfc00ad.jpg,"Apple-Cranberry Crisp 2 pounds Granny Smith apples - peeled, cored and thinly sliced, ¾ cup cranberries, ¼ cup white sugar, 1 tablespoon ground cinnamon, 1 teaspoon ground nutmeg Preheat the oven to 375 degrees F (190 degrees C.) Butter an 8-inch square baking dish.
Mix apples, cranberries, white sugar, cinnamon, and nutmeg in a large bowl. Place in an even layer in the prepared baking dish.
In the same bowl, combine oats, flour, and brown sugar for topping. Add butter pieces and mix with a fork until crumbly. Stir in pecans. Sprinkle topping over apples in the baking dish.
Bake in the preheated oven until apples are tender and topping is golden brown, 40 to 50 minutes. /Desserts/Crisps and Crumbles Recipes/"
Old-Fashioned Apple Dumplings,90,"['1 recipe pastry for double-crust pie', '6 large granny smith apples', 'peeled and cored', '½ cup butter', '¾ cup brown sugar', '1 teaspoon ground cinnamon', '½ teaspoon ground nutmeg', '3 cups water', '2 cups white sugar', '1 teaspoon vanilla extract']","['preheat the oven to 400 degrees f (200 degrees c). butter a 9x13-inch pan.\nroll pastry into a 24x16-inch rectangle on a lightly floured surface. cut into six 8-inch squares. place an apple on each pastry square with the cored opening facing upward. cut butter into 8 pieces; place 1 piece in the opening of each apple; reserve the remaining butter for sauce.\ndivide brown sugar between apples', 'poking some inside each cored opening and the rest around the base of each apple. sprinkle cinnamon and nutmeg over apples.\nusing slightly wet fingertips', 'bring one corner of the pastry square up to the top of the apple', 'then bring the opposite corner to the top and press together. bring up the two remaining corners', 'and seal. slightly pinch the dough at the sides to completely seal in the apple. repeat with the remaining apples and place in the prepared baking dish.\ncombine water', 'white sugar', 'vanilla extract', 'and reserved butter in a large saucepan. place over medium heat', 'and bring to a boil. reduce the heat to low and simmer until sugar is dissolved', 'about 5 minutes. carefully pour the sauce over the dumplings.\nbake in the preheated oven for 50 to 60 minutes. place each apple dumpling in a dessert bowl', 'and spoon some of the sauce over the top.']",35.0,15.0,41.0,434.0,7.0,115.0,5.0,52.0,2.0,319.0,https://www.allrecipes.com/thmb/fBK5I_LpF7CXGzZUJfHTtRnhCac=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9411399-215b5cd7d43e451baeadd6ce77e36c6e.jpg,"Old-Fashioned Apple Dumplings 1 recipe pastry for double-crust pie, 6 large Granny Smith apples, peeled and cored, ½ cup butter, ¾ cup brown sugar, 1 teaspoon ground cinnamon, ½ teaspoon ground nutmeg, 3 cups water, 2 cups white sugar, 1 teaspoon vanilla extract Preheat the oven to 400 degrees F (200 degrees C). Butter a 9x13-inch pan.
Roll pastry into a 24x16-inch rectangle on a lightly floured surface. Cut into six 8-inch squares. Place an apple on each pastry square with the cored opening facing upward. Cut butter into 8 pieces; place 1 piece in the opening of each apple; reserve the remaining butter for sauce.
Divide brown sugar between apples, poking some inside each cored opening and the rest around the base of each apple. Sprinkle cinnamon and nutmeg over apples.
Using slightly wet fingertips, bring one corner of the pastry square up to the top of the apple, then bring the opposite corner to the top and press together. Bring up the two remaining corners, and seal. Slightly pinch the dough at the sides to completely seal in the apple. Repeat with the remaining apples and place in the prepared baking dish.
Combine water, white sugar, vanilla extract, and reserved butter in a large saucepan. Place over medium heat, and bring to a boil. Reduce the heat to low and simmer until sugar is dissolved, about 5 minutes. Carefully pour the sauce over the dumplings.
Bake in the preheated oven for 50 to 60 minutes. Place each apple dumpling in a dessert bowl, and spoon some of the sauce over the top. /Desserts/Fruit Desserts/Apple Dessert Recipes/"
Southern Fried Apples,20,"['½ cup butter', '½ cup white sugar', '2 tablespoons ground cinnamon', '4  granny smith apples - peeled', 'cored', 'and sliced']","['melt butter in a large skillet over medium heat. add sugar and cinnamon; stir until sugar dissolves.\nadd apples and cook until softened', '5 to 8 minutes.\n\n\n\n\n\n\n\n\n\n\n\nmelissa goff']",23.0,15.0,61.0,165.0,5.0,39.0,1.0,49.0,1.0,174.0,https://www.allrecipes.com/thmb/j38-5Fxnr9NUifEj3gsaBBkd75k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1049390-361cabad31114328ac20bcc3c35ffce4.jpg,"Southern Fried Apples ½ cup butter, ½ cup white sugar, 2 tablespoons ground cinnamon, 4  Granny Smith apples - peeled, cored, and sliced Melt butter in a large skillet over medium heat. Add sugar and cinnamon; stir until sugar dissolves.
Add apples and cook until softened, 5 to 8 minutes.











Melissa Goff
 /Side Dish/"
